over_id,over_overNumber,over_runrate,over_totalInningRuns,over_totalInningWickets,over_runsConceded,over_wickets,over_runsExtras,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled,ballDateTime,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount
309698,19,,,,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,1,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309698,19,,,,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,2,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309698,19,,,,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,3,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309698,19,,,,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,4,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309698,19,,,,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,5,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309698,19,,,,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,6,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309699,20,7.47,145.0,10.0,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,1,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309699,20,7.47,145.0,10.0,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,2,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309699,20,7.47,145.0,10.0,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,3,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309699,20,7.47,145.0,10.0,,,,,10183,,1212,England Domestic T20 2018,2,32,Essex,35,Sussex,4,False,,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
